After	O
Afterwards	O
Antoine	O
Bernhard	O
Bill	O
Brian	O
Cats	O
Daniel	O
Does	O
Emily	O
Following	O
Fred	O
Gertrude	O
Greg	O
How	O
Is	O
Jason	O
Jeff	O
Jessica	O
John	O
Julie	O
Julius	O
Lily	O
Mary	O
Mice	O
Sandra	O
Sheep	O
Sumit	O
The	O
Then	O
This	O
What	O
Where	O
Who	O
Why	O
Winona	O
Wolves	O
Yann	O
Yesterday	O
a	O
above	O
afraid	O
afternoon	O
and	O
antoine	O
apple	O
are	O
back	O
bathroom	O
bedroom	O
before	O
below	O
bigger	O
blue	O
bored	O
box	O
carrying	O
cat	O
cats	O
chest	O
chocolate	O
chocolates	O
cinema	O
color	O
container	O
did	O
discarded	O
do	O
down	O
dropped	O
e	O
east	O
either	O
emily	O
evening	O
fit	O
fits	O
football	O
frog	O
from	O
garden	O
gave	O
gertrude	O
get	O
give	O
go	O
got	O
grabbed	O
gray	O
green	O
hallway	O
handed	O
he	O
hungry	O
in	O
inside	O
is	O
jason	O
jessica	O
journeyed	O
kitchen	O
left	O
lion	O
longer	O
many	O
maybe	O
mice	O
milk	O
morning	O
mouse	O
moved	O
n	O
no	O
none	O
north	O
not	O
nothing	O
objects	O
of	O
office	O
one	O
or	O
pajamas	O
park	O
passed	O
picked	O
pink	O
put	O
received	O
rectangle	O
red	O
rhino	O
right	O
s	O
school	O
she	O
sheep	O
south	O
sphere	O
square	O
suitcase	O
sumit	O
swan	O
than	O
that	O
the	O
there	O
they	O
thirsty	O
this	O
three	O
tired	O
to	O
took	O
travelled	O
triangle	O
two	O
up	O
w	O
was	O
went	O
west	O
white	O
will	O
winona	O
wolf	O
wolves	O
yann	O
yellow	O
yes	O
yesterday	O
you	O
